cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
6,leading grand,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,meters grand,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,prix got,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,saudi grand,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,seventh grand,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,stop grand,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,winner australian,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,wins canadian,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,wins dutch,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,wins emilia,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,wins italian,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,wins japanese,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,opening,11,52,465,3.162,0.000231674428358,0,0.0361049344009069
6,retirement,6,16,465,0.973,0.0002320698918004,0,0.0361237133947527
6,leads,16,98,465,5.959,0.0002483102656452,0,0.0385147691374414
7,lights,34,105,36,0.494,7.744030555905868e-64,0,2.749675022466728e-60
7,red lights,12,13,36,0.061,1.9605050513015198e-28,1,2.960497834710213e-25
7,prix underway,15,32,36,0.151,2.235158962216871e-28,1,3.3368891343204963e-25
7,underway,16,47,36,0.221,1.5815780148983831e-27,0,2.283312014124066e-24
7,grand,25,516,36,2.429,9.17599734655323e-22,0,1.030346861026305e-18
7,grand prix,25,516,36,2.429,9.17599734655323e-22,1,1.030346861026305e-18
7,prix,25,527,36,2.481,1.548988549702379e-21,0,1.7245755907262692e-18
7,red,12,38,36,0.179,3.7966146378109685e-20,0,4.022451973040757e-17
7,lights time,8,9,36,0.042,9.394670077193953e-19,1,9.567706791173897e-16
7,lights away,10,56,36,0.264,4.188327199429522e-14,1,3.1991027566991444e-11
7,green flag,7,26,36,0.122,1.7036406153200745e-11,1,9.564849977704705e-09
7,begins,5,9,36,0.042,2.1533469218585103e-10,0,1.0324748365185534e-07
7,racing lights,4,4,36,0.019,4.137517560586601e-10,1,1.9344146157993786e-07
7,green,7,48,36,0.226,1.772098906948008e-09,0,7.786329966528479e-07
7,away,10,194,36,0.913,1.254733932151894e-08,0,5.041037463926214e-06
7,come lights,4,8,36,0.038,2.8576548363341423e-08,1,1.07881397062711e-05
7,away formula,3,3,36,0.014,9.58399522215878e-08,1,3.278924365381073e-05
7,begins lights,3,3,36,0.014,9.58399522215878e-08,1,3.278924365381073e-05
7,flag,8,132,36,0.621,1.2842204140803136e-07,0,4.314980591309853e-05
7,racing,8,144,36,0.678,2.5219777705701297e-07,0,8.104514856070065e-05
7,time grand,3,6,36,0.028,1.8982425083485603e-06,1,0.0005247244703962
7,time,10,484,36,2.279,5.3496083930214e-05,0,0.0102450459510434
7,begins red,2,3,36,0.014,6.445800551326614e-05,1,0.0120287428015779
7,lights grand,2,3,36,0.014,6.445800551326614e-05,1,0.0120287428015779
7,flag come,2,4,36,0.019,0.0001285338924729,1,0.0217326494948797
7,formula goes,2,4,36,0.019,0.0001285338924729,1,0.0217326494948797
8,flag,100,132,118,2.037,2.648539777740515e-179,0,2.4853897274316994e-175
8,checkered,26,32,118,0.494,3.5510215163713263e-43,0,8.482163686087259e-40
8,checkered flag,26,32,118,0.494,3.5510215163713263e-43,1,8.482163686087259e-40
8,yellow,24,31,118,0.478,6.758742723523548e-39,0,1.4556337443370977e-35
