event_id,domain,metric,H_r,F_r,observed_effect,null_mean,null_sd,null_p2.5,null_p50,null_p97.5,p_one_sided_depletion,p_one_sided_enrichment,p_two_sided,z_vs_null,outside_central_95,below_null_p2.5
2024_LasVegas_GP,Race dynamics,all,105,1344,0.1400297619047615,0.0008259523809523,0.04204931822058,-0.0790178571428571,-0.0028273809523809,0.0828869047619047,0.9994000599940006,0.0006999300069993,0.0013998600139986,3.3104890974351004,True,False
2024_LasVegas_GP,Narrative & meta,all,105,1344,-0.0133928571428573,-0.0005128571428571,0.0429466237349179,-0.0800595238095238,-0.0038690476190476,0.081845238095238,0.3456654334566543,0.6544345565443456,0.6913308669133087,-0.2999071610262137,False,False
2024_LasVegas_GP,Strategy & technical,all,105,1344,-0.030357142857143,-0.0004704761904761,0.0348492930879346,-0.0684523809523809,-0.0017857142857142,0.0648809523809523,0.1616838316168383,0.8384161583841616,0.3233676632336766,-0.8575975010814217,False,False
2024_LasVegas_GP,Regulatory,all,105,1344,-0.0172619047619047,-0.0002599999999999,0.0154124632321707,-0.0267857142857142,0.0017857142857142,0.0303571428571428,0.0587941205879412,0.9413058694130588,0.1175882411758824,-1.103127028158381,False,False
2024_Qatar_GP,Race dynamics,assigned,55,1631,0.0297505668934235,0.0006982892436206,0.0762940489222628,-0.1480272108843537,-5.973120955699018e-05,0.1528736900165471,0.6465353464653535,0.3535646435356464,0.7071292870712929,0.3807934964810259,False,False
2024_Qatar_GP,Narrative & meta,assigned,55,1631,-0.028390022675737,-0.0007303222672,0.06572991534809,-0.1256122448979592,-0.0006122448979591,0.1340031397174254,0.3311668833116688,0.668933106689331,0.6623337666233376,-0.4208083984599371,False,False
2024_Qatar_GP,Strategy & technical,assigned,55,1631,-0.0706273620559336,8.146504113468835e-05,0.0631203524529965,-0.1187755102040816,-0.0025592939878653,0.1312244897959183,0.1291870812918708,0.8709129087091291,0.2583741625837416,-1.1202223110164438,False,False
2024_Qatar_GP,Regulatory,assigned,55,1631,0.0692668178382463,-4.9432017555267295e-05,0.0489743557715171,-0.0909183673469387,-0.0022820037105751,0.1035938277750124,0.9143085691430856,0.0857914208579142,0.1715828417158284,1.415358073910899,False,False
2024_Qatar_GP,Race dynamics,all,55,1631,0.1248982776879765,0.0004219140516136,0.0617933121901212,-0.1114653586756591,-0.00237444958475,0.1248982776879772,0.9667033296670332,0.0333966603339666,0.0667933206679332,2.0143986335185096,False,False
2024_Qatar_GP,Narrative & meta,all,55,1631,0.0299537372498744,-0.000602626386489,0.0513010230045592,-0.0973189900228526,-0.0064098991137617,0.1026810099771473,0.6727327267273273,0.3273672632736726,0.6547345265473453,0.5956287388976215,False,False
2024_Qatar_GP,Strategy & technical,all,55,1631,-0.0188618248704088,4.908422050051696e-05,0.0490222380028526,-0.0915890975976813,-0.0006800066885903,0.1084109024023186,0.2931706829317068,0.706929307069293,0.5863413658634137,-0.3857618473030325,False,False
2024_Qatar_GP,Regulatory,all,55,1631,0.0947550303773478,-5.769689537930447e-05,0.0372715038930636,-0.0688813332590156,0.003845939468257,0.0765732121955297,0.9837016298370164,0.0163983601639836,0.0327967203279672,2.543839592433837,True,False
2025_Belgium_GP,Race dynamics,assigned,65,2232,-0.0415632754342432,-0.0007041677398863,0.069329357471008,-0.1337291740517547,-0.0010761128272648,0.1408740005514199,0.2880711928807119,0.712028797120288,0.5761423857614238,-0.589347848946145,False,False
