threshold,category_id,category_name,metric,n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_positive,n_negative,n_zero,majority_sign,n_majority
0.4,18,Team dynamics,assigned,10,0.0243285331672756,0.0148366616087073,0.0506621754369832,-0.0094601838448789,0.0502193156680201,0.059679499512899,-0.0347394540942928,0.1236440835554453,6,4,0,1,6
0.4,19,Race lead holding,all,10,0.0117539976756692,0.0107494690288358,0.012433915371805,0.0075266854004375,0.0151019244729114,0.0075752390724738,-0.0052395209580838,0.0386409480584972,8,2,0,1,8
0.4,19,Race lead holding,assigned,10,0.0110038145827783,0.0102967793351193,0.0131865498835207,0.0059291620554147,0.0150448301926134,0.0091156681371987,-0.0073375262054507,0.0399026839397508,8,2,0,1,8
0.4,20,Wing & car damage,all,10,-0.0015602847316285,-0.0042506720430107,0.0138463408905581,-0.0126015171491878,0.0045620195971921,0.0171635367463799,-0.017832647462277,0.0210356167437712,4,6,0,-1,6
0.4,20,Wing & car damage,assigned,10,-0.0048191557958562,-0.0063325676329602,0.0147203756428552,-0.0171728529892176,0.0033484351286468,0.0205212881178644,-0.0236148955495004,0.0183888143370416,4,6,0,-1,6
0.4,21,Braking & lockups,all,10,0.0157189940325565,0.0079864705544053,0.033464157472256,0.0048610248266753,0.0156875611821077,0.0108265363554324,-0.0292276012775256,0.0767964071856287,8,2,0,1,8
0.4,21,Braking & lockups,assigned,10,0.0086489248203772,0.0045128850660714,0.0352717386933503,-0.0016635842619151,0.0058763144760315,0.0075398987379467,-0.0453573420938449,0.0695460574166773,7,3,0,1,7
0.4,22,Wheel-to-wheel,all,10,0.0179543186486041,0.018479300482654,0.0223723165359714,-0.0031680941607412,0.0322891292631197,0.0354572234238609,-0.0075642965204236,0.0532634730538922,6,4,0,1,6
0.4,22,Wheel-to-wheel,assigned,10,0.0167925062177431,0.0175749584659489,0.0225985103781751,-0.0041595435727379,0.0313473182247975,0.0355068617975355,-0.0105374077976817,0.0517905275317674,6,4,0,1,6
0.4,23,Circuit action,all,10,0.0005388291442347,-0.0012657564865809,0.0161140107000667,-0.009494115880297,0.0145430595096238,0.0240371753899209,-0.0191135925006892,0.0242474118601211,3,7,0,-1,7
0.4,23,Circuit action,assigned,10,-0.0063055886948588,-0.0092174583995385,0.0174975393948676,-0.0153034216467034,0.0094819374302657,0.0247853590769691,-0.031637717121588,0.0185792822821522,3,7,0,-1,7
0.4,24,Inter-car distance,all,10,0.0007267587803254,-0.0038349094212118,0.0171485597721575,-0.008232762869323,0.0002268895171774,0.0084596523865005,-0.0178477690288713,0.0405753542292829,3,7,0,-1,7
0.4,24,Inter-car distance,assigned,10,-0.0035613403438816,-0.0082411545560881,0.0182219960511912,-0.012659827303485,-0.0051950112675909,0.007464816035894,-0.023926812104152,0.0362148824726202,2,8,0,-1,8
0.4,25,Driver & team references,all,10,0.0089111948620604,0.0074894957809773,0.0216376708816992,-0.0087388748234336,0.029291495472485,0.0380303702959186,-0.0201115485564304,0.0373312341968417,6,4,0,1,6
0.4,25,Driver & team references,assigned,10,0.0005071750259952,-0.0049107928341586,0.0222133533381232,-0.016196106190658,0.0214788709527562,0.0376749771434142,-0.0319024161388693,0.0317129128609151,5,5,0,0,5
0.4,26,Defending & attacking,all,10,0.0143386791722954,0.0118725973380407,0.0192894811749883,-0.0014654494420805,0.029241296556444,0.0307067459985245,-0.0090497737556561,0.0465269461077844,7,3,0,1,7
0.4,26,Defending & attacking,assigned,10,0.0117995904823572,0.010048781608394,0.0200622202222179,-0.0062511621387151,0.0283459840769997,0.0345971462157149,-0.0119148936170212,0.0423565652676164,6,4,0,1,6
0.4,27,Overtake battles,all,10,0.0379993966798122,0.0425263926795789,0.0423595365119872,0.0236893283169266,0.0565268523322824,0.0328375240153558,-0.0378443113772455,0.1064254496554042,8,2,0,1,8
0.4,27,Overtake battles,assigned,10,0.0135387289790232,0.0148011911789016,0.0489584836403313,-0.0103846338914573,0.0404186401271493,0.0508032740186067,-0.0681983485217986,0.0879098741709539,6,4,0,1,6
0.4,28,Corner battles,all,10,0.0113333887947692,0.0109614891972373,0.0170648591721153,-0.0005585556067845,0.0234254966201652,0.0239840522269498,-0.0119760479041916,0.0416666666666666,7,3,0,1,7
0.4,28,Corner battles,assigned,10,0.0100536914315429,0.009986446685954,0.0192696699995063,-0.001580573102536,0.0199069506871722,0.0214875237897082,-0.0167714884696016,0.0484353415926123,7,3,0,1,7
0.4,29,Corner specific moves,all,10,0.0079495676384441,-0.0037878501159378,0.0212005853623111,-0.0063041862733513,0.0223837610212645,0.0286879472946159,-0.0119047619047619,0.0499021993225514,4,6,0,-1,6
0.4,29,Corner specific moves,assigned,10,0.0063941461196259,-0.0050358672079185,0.0219804409646078,-0.0083991077556623,0.0227924720094066,0.0311915797650689,-0.015488867376573,0.0491580451062724,4,6,0,-1,6
0.4,30,Lap pace & timing,all,10,-0.0074699527401418,-0.0077086847169312,0.0149629566111588,-0.0169208744360337,0.0064124159567278,0.0233332903927616,-0.0313988095238095,0.0115568862275449,4,6,0,-1,6
0.4,30,Lap pace & timing,assigned,10,-0.0176946586186322,-0.0173954276260996,0.0152112754778064,-0.0276181944502423,-0.0054597058688679,0.0221584885813743,-0.0420070265507902,0.0009840414153082,2,8,0,-1,8
0.4,31,Race leader changes,all,10,-0.0070847619066861,-0.0079105887200877,0.0242403033860468,-0.0264713562337144,0.0063569669492613,0.0328283231829757,-0.0359281437125748,0.0430607741396791,4,6,0,-1,6
0.4,31,Race leader changes,assigned,10,-0.0195401239187198,-0.0197563290153165,0.0249271101125566,-0.0404574436437692,-0.0056480608869235,0.0348093827568457,-0.050314465408805,0.0314232651456613,1,9,0,-1,9
