fr_cluster,term,in_cluster,cluster_size,p_value,significant,weight
3,prix earlier,4,1046,6.977078524264182e-05,True,0.0038240917782026
3,prix today,4,1046,6.977078524264182e-05,True,0.0038240917782026
3,win second,4,1046,6.977078524264182e-05,True,0.0038240917782026
3,chasing,11,1046,7.091643229537126e-05,True,0.0105162523900573
3,debut,5,1046,9.253172737437468e-05,True,0.0047801147227533
3,final sector,5,1046,9.253172737437468e-05,True,0.0047801147227533
3,points,37,1046,9.275951314816058e-05,True,0.0353728489483747
3,score,9,1046,9.984744677460774e-05,True,0.008604206500956
3,final,20,1046,0.0001040682443458,True,0.0191204588910133
3,2021,8,1046,0.0001213121208363,True,0.0076481835564053
3,finds,10,1046,0.0001537566242935,True,0.0095602294455066
3,world champion,15,1046,0.0001577550938817,True,0.01434034416826
3,returns,5,1046,0.0001756055788476,True,0.0047801147227533
3,started,20,1046,0.0001788291855045,True,0.0191204588910133
3,cars podium,4,1046,0.0001989926888201,True,0.0038240917782026
3,incredible run,4,1046,0.0001989926888201,True,0.0038240917782026
3,later grand,4,1046,0.0001989926888201,True,0.0038240917782026
3,races,16,1046,0.0002266645608309,True,0.0152963671128107
3,13th grand,3,1046,0.0002374745813186,True,0.002868068833652
3,35th,3,1046,0.0002374745813186,True,0.002868068833652
3,academy,3,1046,0.0002374745813186,True,0.002868068833652
3,best finish,3,1046,0.0002374745813186,True,0.002868068833652
3,brazilian,3,1046,0.0002374745813186,True,0.002868068833652
3,brazilian grand,3,1046,0.0002374745813186,True,0.002868068833652
3,car grand,3,1046,0.0002374745813186,True,0.002868068833652
3,catar,3,1046,0.0002374745813186,True,0.002868068833652
3,claim second,3,1046,0.0002374745813186,True,0.002868068833652
3,crowned,3,1046,0.0002374745813186,True,0.002868068833652
3,driver won,3,1046,0.0002374745813186,True,0.002868068833652
3,ends grand,3,1046,0.0002374745813186,True,0.002868068833652
3,f1 tv,3,1046,0.0002374745813186,True,0.002868068833652
3,final races,3,1046,0.0002374745813186,True,0.002868068833652
3,finish grand,3,1046,0.0002374745813186,True,0.002868068833652
3,formula calendar,3,1046,0.0002374745813186,True,0.002868068833652
3,formula driver,3,1046,0.0002374745813186,True,0.002868068833652
3,formula longest,3,1046,0.0002374745813186,True,0.002868068833652
3,formula looking,3,1046,0.0002374745813186,True,0.002868068833652
3,formula returns,3,1046,0.0002374745813186,True,0.002868068833652
3,leads grand,3,1046,0.0002374745813186,True,0.002868068833652
3,like formula,3,1046,0.0002374745813186,True,0.002868068833652
3,man grand,3,1046,0.0002374745813186,True,0.002868068833652
3,modern formula,3,1046,0.0002374745813186,True,0.002868068833652
3,ninth grand,3,1046,0.0002374745813186,True,0.002868068833652
3,penultimate grand,3,1046,0.0002374745813186,True,0.002868068833652
3,podium grand,3,1046,0.0002374745813186,True,0.002868068833652
3,prix 2020,3,1046,0.0002374745813186,True,0.002868068833652
3,prix 2021,3,1046,0.0002374745813186,True,0.002868068833652
3,prix 2022,3,1046,0.0002374745813186,True,0.002868068833652
3,prix 2025,3,1046,0.0002374745813186,True,0.002868068833652
3,prix circuit,3,1046,0.0002374745813186,True,0.002868068833652
3,prix couple,3,1046,0.0002374745813186,True,0.002868068833652
3,prix day,3,1046,0.0002374745813186,True,0.002868068833652
3,prix formula,3,1046,0.0002374745813186,True,0.002868068833652
3,prix june,3,1046,0.0002374745813186,True,0.002868068833652
3,prix ll,3,1046,0.0002374745813186,True,0.002868068833652
3,prix look,3,1046,0.0002374745813186,True,0.002868068833652
3,prix moment,3,1046,0.0002374745813186,True,0.002868068833652
3,prix new,3,1046,0.0002374745813186,True,0.002868068833652
3,prix think,3,1046,0.0002374745813186,True,0.002868068833652
3,prix ve,3,1046,0.0002374745813186,True,0.002868068833652
3,prix way,3,1046,0.0002374745813186,True,0.002868068833652
3,race ends,3,1046,0.0002374745813186,True,0.002868068833652
3,race formula,3,1046,0.0002374745813186,True,0.002868068833652
3,rest grand,3,1046,0.0002374745813186,True,0.002868068833652
3,retirement grand,3,1046,0.0002374745813186,True,0.002868068833652
3,single grand,3,1046,0.0002374745813186,True,0.002868068833652
3,start australian,3,1046,0.0002374745813186,True,0.002868068833652
3,teams formula,3,1046,0.0002374745813186,True,0.002868068833652
3,think grand,3,1046,0.0002374745813186,True,0.002868068833652
3,venue formula,3,1046,0.0002374745813186,True,0.002868068833652
3,victory number,3,1046,0.0002374745813186,True,0.002868068833652
