event_id,threshold,category_id,delta_all,delta_assigned
2023_Singapore_GP,0.35,30,-0.017584097859327217,-0.023134328358208955
2023_Singapore_GP,0.35,31,0.006574923547400614,-0.000461975835110158
2023_Singapore_GP,0.35,32,0.045871559633027525,0.042501776830135035
2023_Singapore_GP,0.35,33,-0.021406727828746176,-0.024875621890547265
2023_Singapore_GP,0.4,0,0.02614678899082569,0.0202970297029703
2023_Singapore_GP,0.4,1,0.009327217125382262,0.007527291190657526
2023_Singapore_GP,0.4,2,-0.001834862385321101,-0.002284843869002285
2023_Singapore_GP,0.4,3,-0.0024464831804281344,-0.0030464584920030465
2023_Singapore_GP,0.4,4,0.0154434250764526,0.015143437420665143
2023_Singapore_GP,0.4,5,-0.0030581039755351682,-0.003808073115003808
2023_Singapore_GP,0.4,6,0.042507645259938845,0.02840822543792841
2023_Singapore_GP,0.4,7,-0.0024464831804281344,-0.0030464584920030465
2023_Singapore_GP,0.4,8,-0.00856269113149847,-0.010662604722010662
2023_Singapore_GP,0.4,9,0.037155963302752296,0.034006092916984004
2023_Singapore_GP,0.4,10,0.0,0.0
2023_Singapore_GP,0.4,11,-0.007339449541284404,-0.00913937547600914
2023_Singapore_GP,0.4,12,-0.0022935779816513763,-0.006943386646356943
2023_Singapore_GP,0.4,13,-0.013914373088685015,-0.021414064483371412
2023_Singapore_GP,0.4,14,0.01758409785932722,0.009634424980959636
2023_Singapore_GP,0.4,15,-0.0654434250764526,-0.08149276466108149
2023_Singapore_GP,0.4,16,0.005198776758409785,-0.0017009393247017016
2023_Singapore_GP,0.4,17,-0.017584097859327217,-0.025983752221375982
2023_Singapore_GP,0.4,18,0.06666666666666667,0.050317339426250315
