n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_negative,n_positive,n_zero,threshold,category_id,metric,category_name,majority_sign,n_majority
10,0.016166099554542093,0.017565233182070705,0.018833027597212296,0.0010999941615106126,0.027805225648653623,0.02670523148714301,-0.008064516129032258,0.04269625147083543,2,8,0,0.35,26,all,Defending & attacking,1,8
10,0.013624238283244772,0.015515250596684531,0.018793916686987596,-0.0017601343309079382,0.026865439126091604,0.028625573456999544,-0.011051883439943143,0.04008563811165271,4,6,0,0.35,26,assigned,Defending & attacking,1,6
10,0.03738637823208502,0.040489520238294746,0.04163610504696686,0.029117572306458228,0.05323040778318899,0.024112835476730765,-0.03934131736526946,0.10339973104723482,2,8,0,0.35,27,all,Overtake battles,1,8
10,0.018773035761970765,0.02088270080463077,0.04427234299924575,0.006986988964297482,0.037568028535610365,0.030581039571312883,-0.06133843212237094,0.08558425120512753,2,8,0,0.35,27,assigned,Overtake battles,1,8
10,0.009422887912979083,0.009659826039595226,0.01742849264022686,-0.0015281742234620165,0.021084076969567208,0.022612251193029224,-0.015718562874251496,0.040178571428571425,3,7,0,0.35,28,all,Corner battles,1,7
10,0.007906924075950816,0.008248267177322358,0.0187194559856094,-0.002482956132752013,0.018475396921070114,0.020958353053822126,-0.020076481835564052,0.04256166578671927,3,7,0,0.35,28,assigned,Corner battles,1,7
10,0.006168696148787367,-0.005760763750608434,0.02079542308479915,-0.007295721193726748,0.018859903225045972,0.02615562441877272,-0.012844036697247707,0.04787462430227565,6,4,0,0.35,29,all,Corner specific moves,-1,6
10,0.004600669103570337,-0.007190691388991602,0.021154116068825203,-0.008830501766421413,0.017815127155787015,0.02664562892220843,-0.014925373134328358,0.04766384694442249,6,4,0,0.35,29,assigned,Corner specific moves,-1,6
10,-0.008585273365144714,-0.009056518159629903,0.014614933776532515,-0.017890255555629418,0.004272444255659667,0.022162699811289086,-0.03139880952380952,0.010808383233532934,6,4,0,0.35,30,all,Lap pace & timing,-1,6
10,-0.016086225863667376,-0.016718952453921146,0.01444007921375173,-0.02472868325555606,-0.003383365557666435,0.021345317697889624,-0.039106714461703766,0.0027151051625238995,9,1,0,0.35,30,assigned,Lap pace & timing,-1,9
10,-0.0073302183940934075,-0.008233794925646864,0.024331273640604414,-0.026807377739090782,0.0058982513529310405,0.03270562909202182,-0.036676646706586824,0.04306077413967913,6,4,0,0.35,31,all,Race leader changes,-1,6
10,-0.016174841358847183,-0.01663828953894389,0.02432682897029933,-0.03707717218304975,-0.0020328192901636725,0.03504435289288607,-0.04684512428298279,0.033039082817479214,9,1,0,0.35,31,assigned,Race leader changes,-1,9
10,0.009999421423415472,0.009926660567360445,0.022341602485446338,-0.007995592032850732,0.027675881217897033,0.035671473250747765,-0.024524831391784182,0.045871559633027525,4,6,0,0.35,32,all,Front position changes,1,6
10,0.006909296229844363,0.005842583116454287,0.02281610622880314,-0.010463131635110333,0.024481727843158375,0.03494485947826871,-0.029607698001480384,0.042501776830135035,4,6,0,0.35,32,assigned,Front position changes,1,6
10,0.004435890627618377,0.0032788246260732033,0.017861974724866034,-0.008535954154033343,0.015655207442258342,0.024191161596291685,-0.021406727828746176,0.03716626720918566,5,5,0,0.35,33,all,Field position changes,0,5
10,-0.0004932383846250474,-0.000902769319915361,0.01825284571857102,-0.015020149700577065,0.012825012335822776,0.02784516203639984,-0.024875621890547265,0.031142911971927513,5,5,0,0.35,33,assigned,Field position changes,0,5
10,-0.0004008936937426082,-0.0022844075628271018,0.014869259926219226,-0.010794584352047394,0.00924570509831386,0.020040289450361255,-0.02193645990922844,0.02614678899082569,6,4,0,0.4,0,all,DRS-assisted battles,-1,6
10,-0.003949390088696013,-0.0041569529194421685,0.016218863652779334,-0.014357448701551465,0.006916371408664433,0.021273820110215898,-0.030558482613277135,0.0202970297029703,7,3,0,0.4,0,assigned,DRS-assisted battles,-1,7
10,0.01071629464307513,0.0031613654411606906,0.028680070241633656,-0.0036652855020746808,0.01011494974565045,0.01378023524772513,-0.008928571428571428,0.08864611783066717,5,5,0,0.4,1,all,Time penalties,0,5
10,0.00713379844679512,-0.0031552838373984362,0.02638195333100188,-0.00488352801381073,0.008988659187920188,0.013872187201730918,-0.011616650532429816,0.07820105820105819,6,4,0,0.4,1,assigned,Time penalties,-1,6
10,-0.0016351364346331207,-0.002634358817795473,0.004372938225883648,-0.003749019954282938,-0.0015814700873482395,0.0021675498669346985,-0.007168458781362007,0.006217191601049868,8,2,0,0.4,2,all,Lights-out race starts,-1,8
10,-0.002617897551730247,-0.0034951528295241803,0.0051777522920937015,-0.005217706877422729,-0.0021435380112757286,0.0030741688661470004,-0.009925558312655087,0.006395684001000685,8,2,0,0.4,2,assigned,Lights-out race starts,-1,8
10,0.004591811110488763,0.0037720062790940843,0.007567185394200899,-0.0016870215496260896,0.01012392032321902,0.01181094187284511,-0.004464285714285714,0.017005988023952097,5,5,0,0.4,3,all,Mirror checks defending,0,5
