cluster_id,thematic_label,term,train_obs,train_z,train_p,train_q,train_log2fc,test_obs,test_z,test_p,test_q_subset_fdr,test_log2fc,replicated_strict,replicated_lenient,direction_ok
12,(no label),podium,91,48.306117680155616,0.0,0.0,4.385402810827543,44,30.512434547868665,0.0,0.0,3.9798791145478734,True,True,True
12,(no label),return,3,8.822594531874335,0.0,0.0,1.8442507673220552,0,0.0,1.0,1.0,0.0,False,False,False
12,(no label),season,10,6.778321777995543,0.0,0.0,2.0660154181657524,6,5.760645280990937,0.0,0.0,1.973857585197769,True,True,True
12,(no label),step,7,11.450296912396055,0.0,0.0,2.551099048854872,1,4.898979485566356,0.04,0.06610526315789474,0.9434164716336324,False,True,True
12,(no label),venue,3,10.278650297569321,0.0,0.0,1.8903051351740703,0,-0.18473268089846426,1.0,1.0,-0.04684025420297229,False,False,False
13,(no label),champion,28,21.149371019784283,0.0,0.0,3.5693271315224027,7,10.648967540555562,0.0,0.0,2.5606428215257435,True,True,True
13,(no label),championship,44,25.96784500253209,0.0,0.0,3.7111230598532985,18,20.153706555025774,0.0,0.0,3.4274421704572067,True,True,True
13,(no label),constructors,5,7.798964686075891,0.0,0.0,2.142417044615852,2,5.431146442259779,0.008,0.0157,1.4240423125400532,True,True,True
13,(no label),crown,2,8.859182430043294,0.0,0.0,1.5131998314210648,0,-0.1391689327581988,1.0,1.0,-0.027154051503726594,False,False,False
13,(no label),leader,10,9.259143271114201,0.0,0.0,2.4529540545660926,1,1.6967881969755867,0.186,0.2485276595744681,0.7261857554129634,False,False,True
13,(no label),long,9,4.835123530804683,0.0,0.0,1.7235628895637178,0,-0.5817458339282022,1.0,1.0,-0.4478436443620854,False,False,False
13,(no label),night,3,6.374596382667389,0.0,0.0,1.732164607902385,0,-0.14285714285714288,1.0,1.0,-0.028569152196770954,False,False,False
13,(no label),points,10,6.857231313481073,0.0,0.0,2.1572588188965454,3,4.674563466055477,0.005,0.010466666666666668,1.6082322800440034,True,True,True
13,(no label),seven,6,6.621810573491496,0.0,0.0,2.045218752156492,2,4.938151994074735,0.006,0.01231372549019608,1.3820746672510127,True,True,True
13,(no label),title,8,10.736433215700474,0.0,0.0,2.5984908855658033,3,6.990856034855381,0.0,0.0,1.772258924160872,True,True,True
13,(no label),today,6,5.804849870904873,0.0,0.0,1.919050026849117,1,1.6442116930378645,0.212,0.27736666666666665,0.6989977439671856,False,False,True
13,(no label),trophy,5,9.868446650970327,0.0,0.0,2.2816201062338255,2,11.745675825603369,0.0,0.0,1.543719518489275,True,True,True
13,(no label),versus,4,5.535411944651574,0.0,0.0,1.8614476248473515,0,-0.3259348680202779,1.0,1.0,-0.1505596765753814,False,False,False
13,(no label),victory,7,5.448587914996636,0.0,0.0,1.8936516804948533,1,0.9860147957193712,0.344,0.4373117408906882,0.5114849910421879,False,False,True
13,(no label),win,19,10.399059822973912,0.0,0.0,2.5627722610870904,3,2.2759466246212954,0.062,0.09359615384615386,1.1440103026915194,False,True,True
13,(no label),world,47,27.33236384280005,0.0,0.0,3.7648856796236427,13,15.041957083773129,0.0,0.0,3.063193826487194,True,True,True
14,(no label),come,16,6.62482068909185,0.0,0.0,1.9476659446349904,4,2.1967776104178363,0.054,0.08352709359605912,1.009262921328968,False,True,True
14,(no label),coming,13,6.656033809223951,0.0,0.0,2.009511854992063,7,3.401306576289549,0.004,0.008602739726027398,1.3695945285176767,True,True,True
14,(no label),lane,25,19.675857316934447,0.0,0.0,3.465938397578882,16,14.801848163545252,0.0,0.0,3.2669774982639606,True,True,True
14,(no label),pit,92,41.156745122698034,0.0,0.0,4.0841933374733195,43,25.971208273110562,0.0,0.0,3.7863275210471237,True,True,True
14,(no label),pits,32,21.235040838148432,0.0,0.0,3.5430823701147935,16,13.493385066679275,0.0,0.0,2.9770995978899215,True,True,True
14,(no label),pitted,7,8.116833885657986,0.0,0.0,2.3400754415976217,0,-0.29765385228677405,1.0,1.0,-0.12035194036522215,False,False,False
14,(no label),stop,42,17.618800749481963,0.0,0.0,2.930313817759322,20,11.584003157843698,0.0,0.0,2.798724616914164,True,True,True
14,(no label),stops,5,8.158528966588598,0.0,0.0,2.1767941300130498,0,-0.45643546458763845,1.0,1.0,-0.2630344058337938,False,False,False
15,(no label),axle,6,7.149118312921871,0.0,0.0,2.322958959554938,0,0.0,1.0,1.0,0.0,False,False,False
15,(no label),cold,7,8.046589395034946,0.0,0.0,2.3902450378275564,0,0.0,1.0,1.0,0.0,False,False,False
15,(no label),compound,25,15.433738098833507,0.0,0.0,3.021015920028496,7,10.079940104034527,0.0,0.0,2.4849940835662707,True,True,True
15,(no label),end,14,4.133529477315222,0.0,0.0,1.3567287011610882,4,2.252462889459826,0.046,0.07407179487179487,1.1015981400078068,False,True,True
15,(no label),fresh,7,7.619561852258385,0.0,0.0,2.2327689629761243,4,7.202378985937177,0.0,0.0,1.9862161845669002,True,True,True
15,(no label),fresher,21,14.430236588873443,0.0,0.0,2.898227697867377,3,6.0910329707893185,0.0,0.0,1.7119367996746837,True,True,True
15,(no label),got,51,4.122665590826573,0.0,0.0,0.8112582487035788,13,1.5127660536102292,0.091,0.1316774193548387,0.5638381606855499,False,True,True
15,(no label),grip,14,8.720508889512022,0.0,0.0,2.3056695100235722,2,1.245235296158159,0.207,0.2731008403361344,0.6681037360214019,False,False,True
15,(no label),hard,58,21.757235725548153,0.0,0.0,3.1260466988601268,22,14.37751943910775,0.0,0.0,2.900631605136836,True,True,True
15,(no label),intermediate,16,13.161300978638607,0.0,0.0,2.8389280051116605,0,0.0,1.0,1.0,0.0,False,False,False
