phase,config,nc,noise_pct,ari,jaccard,max_diff,rows_diff,notes
D,umap_nn18_md0.0_nc3_hdb_mcs30,34,32.61,0.6893,0.8176,,,UMAP grid
D,umap_nn18_md0.0_nc5_hdb_mcs30,35,34.04,0.7854,0.8852,,,UMAP grid
D,umap_nn18_md0.0_nc7_hdb_mcs30,35,33.63,0.8038,0.8846,,,UMAP grid
D,umap_nn18_md0.0_nc10_hdb_mcs30,35,34.25,0.7826,0.8798,,,UMAP grid
D,umap_nn18_md0.01_nc3_hdb_mcs30,34,34.22,0.7022,0.8113,,,UMAP grid
D,umap_nn18_md0.01_nc5_hdb_mcs30,35,34.69,0.7905,0.8848,,,UMAP grid
D,umap_nn18_md0.01_nc7_hdb_mcs30,35,34.95,0.7951,0.8858,,,UMAP grid
D,umap_nn18_md0.01_nc10_hdb_mcs30,34,36.11,0.7777,0.8884,,,UMAP grid
D,umap_nn18_md0.05_nc3_hdb_mcs30,32,33.79,0.6544,0.7901,,,UMAP grid
D,umap_nn18_md0.05_nc5_hdb_mcs30,35,38.39,0.7464,0.8628,,,UMAP grid
D,umap_nn18_md0.05_nc7_hdb_mcs30,33,35.48,0.7480,0.8802,,,UMAP grid
D,umap_nn18_md0.05_nc10_hdb_mcs30,33,35.44,0.7601,0.8750,,,UMAP grid
D,umap_nn18_md0.1_nc3_hdb_mcs30,33,42.84,0.5761,0.7327,,,UMAP grid
D,umap_nn18_md0.1_nc5_hdb_mcs30,34,42.19,0.6941,0.8480,,,UMAP grid
D,umap_nn18_md0.1_nc7_hdb_mcs30,33,40.54,0.6942,0.8396,,,UMAP grid
D,umap_nn18_md0.1_nc10_hdb_mcs30,33,41.34,0.6958,0.8398,,,UMAP grid
D,umap_nn20_md0.0_nc3_hdb_mcs30,35,34.51,0.6784,0.8250,,,UMAP grid
D,umap_nn20_md0.0_nc5_hdb_mcs30,34,33.66,0.7575,0.8386,,,UMAP grid
D,umap_nn20_md0.0_nc7_hdb_mcs30,34,33.71,0.7429,0.8420,,,UMAP grid
D,umap_nn20_md0.0_nc10_hdb_mcs30,34,33.14,0.7595,0.8491,,,UMAP grid
D,umap_nn20_md0.01_nc3_hdb_mcs30,35,36.90,0.6686,0.8217,,,UMAP grid
D,umap_nn20_md0.01_nc5_hdb_mcs30,34,33.39,0.7554,0.8432,,,UMAP grid
D,umap_nn20_md0.01_nc7_hdb_mcs30,35,36.25,0.7589,0.8726,,,UMAP grid
D,umap_nn20_md0.01_nc10_hdb_mcs30,34,35.28,0.7336,0.8431,,,UMAP grid
D,umap_nn20_md0.05_nc3_hdb_mcs30,35,38.03,0.6560,0.8018,,,UMAP grid
D,umap_nn20_md0.05_nc5_hdb_mcs30,34,35.86,0.7376,0.8353,,,UMAP grid
D,umap_nn20_md0.05_nc7_hdb_mcs30,34,37.39,0.7255,0.8249,,,UMAP grid
D,umap_nn20_md0.05_nc10_hdb_mcs30,34,37.40,0.7347,0.8308,,,UMAP grid
D,umap_nn20_md0.1_nc3_hdb_mcs30,3,0.00,0.0284,0.6981,,,UMAP grid
D,umap_nn20_md0.1_nc5_hdb_mcs30,33,39.78,0.6926,0.8326,,,UMAP grid
D,umap_nn20_md0.1_nc7_hdb_mcs30,33,40.81,0.6772,0.8337,,,UMAP grid
D,umap_nn20_md0.1_nc10_hdb_mcs30,32,41.01,0.6807,0.8358,,,UMAP grid
E,env_stamp,,,,,,,numpy=2.3.5 sklearn=1.7.2 umap=0.5.12 python=3.13.9
