cluster_id,term,is_bigram,in_cluster,corpus_docfreq,cluster_size,expected,p_value,q_value_fdr,significant
15,fresh,0,10,15,379,0.743,1.9147176358145152e-10,9.282211960249733e-08,True
15,fresh tires,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,fresher,0,27,39,379,1.933,5.3917967985143846e-27,7.378673918766936e-24,True
15,fresher rubber,1,5,12,379,0.595,0.00017273528401917117,0.028580945432371073,True
15,fresher tires,1,18,21,379,1.041,2.55489503184338e-21,2.8206041151550913e-18,True
15,got tyres,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,grip,0,16,70,379,3.469,2.0495079439736268e-07,6.714617347817435e-05,True
15,hard,0,74,123,379,6.096,1.5595679508024914e-66,6.026170561900828e-63,True
15,hard compound,1,16,17,379,0.843,1.5860789842265685e-20,1.7079730543586036e-17,True
15,hard tire,1,15,21,379,1.041,8.445767032941644e-16,7.348152912051267e-13,True
15,hard tires,1,17,24,379,1.189,1.166656354418519e-17,1.135338112726573e-14,True
15,hard tyre,1,8,8,379,0.396,3.392164019935993e-11,1.8646399175025566e-08,True
15,hard tyres,1,12,12,379,0.595,1.858325504899571e-16,1.672187476244425e-13,True
15,harder,0,4,6,379,0.297,8.229539565031939e-05,0.015078995674974002,True
15,intermediate,0,16,21,379,1.041,1.5807283308022997e-17,1.5158377020984155e-14,True
15,intermediate tires,1,10,12,379,0.595,4.814703067718803e-12,2.928409399188081e-09,True
15,intermediate tyres,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,laps younger,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,medium,0,49,63,379,3.122,1.06711671446037e-52,2.98284096763714e-49,True
15,medium compound,1,7,7,379,0.347,6.966702449545965e-10,3.234125445270497e-07,True
15,medium tire,1,13,15,379,0.743,8.562778251715265e-16,7.400944444719373e-13,True
15,medium tires,1,16,18,379,0.892,1.3635643736325708e-19,1.4105482925224616e-16,True
15,medium tyre,1,6,6,379,0.297,1.4271467404016276e-08,5.630415320330457e-06,True
15,mediums,0,5,13,379,0.644,0.00026933823753102983,0.04153119752802415,True
15,new,0,15,49,379,2.429,6.825192994984698e-09,2.837552388952879e-06,True
15,new set,1,6,8,379,0.396,3.6687326999882173e-07,0.0001120891691148028,True
15,new tires,1,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
15,pirelli,0,6,8,379,0.396,3.6687326999882173e-07,0.0001120891691148028,True
15,pits,0,20,108,379,5.353,2.5515720649001305e-07,8.15609079314646e-05,True
15,rear,0,20,85,379,4.213,3.503750236758121e-09,1.5092088232929015e-06,True
