cell,cache,mcs,cluster,n_viable_runs,n_pass,pass_rate_viable,n_reconstructed,reconstruction_rate_all_runs,median_rep_strict,iqr_lo_rep_strict,iqr_hi_rep_strict,median_rep_dir,iqr_lo_rep_dir,iqr_hi_rep_dir,median_den,min_den,max_den
A35,A,35,13,35,17,0.4857142857142857,35,0.7,0.48484848484848486,0.44166666666666665,0.5409356725146199,0.6666666666666666,0.6324561403508772,0.7635046113306982,21.0,12,66
A35,A,35,14,35,12,0.34285714285714286,35,0.7,0.47368421052631576,0.4074074074074074,0.5,0.631578947368421,0.5626086956521739,0.6809090909090909,24.0,18,29
A35,A,35,15,35,30,0.8571428571428571,35,0.7,0.5573770491803278,0.5082055421038472,0.5897248243559718,0.7540983606557377,0.7085196224540486,0.7867965367965368,60.0,52,72
A35,A,35,16,35,23,0.6571428571428571,35,0.7,0.5294117647058824,0.43875,0.6132478632478633,0.6190476190476191,0.5,0.7140522875816994,17.0,9,25
A35,A,35,17,35,5,0.14285714285714285,18,0.36,0.4365079365079365,0.36401098901098905,0.49264705882352944,0.6076923076923078,0.5,0.6916666666666667,7.0,0,18
A35,A,35,18,35,23,0.6571428571428571,33,0.66,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.75,0.6666666666666666,1.0,4.0,0,9
A35,A,35,19,35,19,0.5428571428571428,30,0.6,0.5,0.41964285714285715,0.5928571428571429,0.6833333333333333,0.5555555555555556,0.8136363636363637,9.0,0,12
A35,A,35,20,35,8,0.22857142857142856,23,0.46,0.46153846153846156,0.40588235294117647,0.5333333333333333,0.5625,0.513157894736842,0.6458333333333333,13.0,0,19
A35,A,35,21,35,18,0.5142857142857142,35,0.7,0.5,0.36602870813397126,0.6375,0.7,0.5735930735930737,0.791304347826087,16.0,8,45
A35,A,35,22,35,23,0.6571428571428571,28,0.56,0.5634920634920635,0.5,0.6666666666666666,0.6666666666666666,0.625,0.7833333333333333,9.0,0,12
A35,A,35,23,35,12,0.34285714285714286,33,0.66,0.4,0.2857142857142857,0.5,0.4,0.3333333333333333,0.6,5.0,0,9
