cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
5,laps race,7,9,321,0.484,4.013179132385259e-08,1,9.319164679003852e-06
5,laps till,6,7,321,0.377,1.5493249392133824e-07,1,3.3050514720236665e-05
5,15 laps,5,5,321,0.269,4.3740112627727845e-07,1,8.574969743498171e-05
5,37 laps,5,5,321,0.269,4.3740112627727845e-07,1,8.574969743498171e-05
5,47,5,5,321,0.269,4.3740112627727845e-07,0,8.574969743498171e-05
5,55,5,5,321,0.269,4.3740112627727845e-07,0,8.574969743498171e-05
5,launch start,5,5,321,0.269,4.3740112627727845e-07,1,8.574969743498171e-05
5,seven laps,5,5,321,0.269,4.3740112627727845e-07,1,8.574969743498171e-05
5,37,6,8,321,0.43,5.916833260846178e-07,0,0.0001142166616886
5,30,7,12,321,0.646,7.665482745171409e-07,0,0.0001435681039147
5,race,26,168,321,9.038,7.920099869331064e-07,0,0.0001478967017142
5,right lap,6,9,321,0.484,1.694786395606148e-06,1,0.0002890322706652
5,120,5,6,321,0.323,2.508490323661977e-06,0,0.0004209581228481
5,108,4,4,321,0.215,8.227832542559655e-06,0,0.0011794476125359
5,18 laps,4,4,321,0.215,8.227832542559655e-06,1,0.0011794476125359
5,45,4,4,321,0.215,8.227832542559655e-06,0,0.0011794476125359
5,47 laps,4,4,321,0.215,8.227832542559655e-06,1,0.0011794476125359
5,80 laps,4,4,321,0.215,8.227832542559655e-06,1,0.0011794476125359
5,counting,4,4,321,0.215,8.227832542559655e-06,0,0.0011794476125359
5,laps coming,4,4,321,0.215,8.227832542559655e-06,1,0.0011794476125359
5,laps led,4,4,321,0.215,8.227832542559655e-06,1,0.0011794476125359
5,led,7,16,321,0.861,9.174917469689431e-06,0,0.0013062840641799
5,final,6,13,321,0.699,2.8783921091028057e-05,0,0.0038214602410514
5,13 laps,4,5,321,0.269,3.938955820768916e-05,1,0.0050241667528663
5,14 laps,4,5,321,0.269,3.938955820768916e-05,1,0.0050241667528663
5,17,4,5,321,0.269,3.938955820768916e-05,0,0.0050241667528663
5,31,4,5,321,0.269,3.938955820768916e-05,0,0.0050241667528663
5,38,4,5,321,0.269,3.938955820768916e-05,0,0.0050241667528663
5,final stage,4,5,321,0.269,3.938955820768916e-05,1,0.0050241667528663
5,getting great,4,5,321,0.269,3.938955820768916e-05,1,0.0050241667528663
5,great,6,14,321,0.753,4.810421190167235e-05,0,0.0060063453471671
5,15,7,20,321,1.076,5.154406351429959e-05,0,0.0063851730648717
5,39,4,6,321,0.323,0.0001131516939757,0,0.013089404599069
5,cars,11,55,321,2.959,0.0001304947447113,0,0.0150403558327521
5,117,3,3,321,0.161,0.0001543106707038,0,0.0168297582450495
5,24 laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,30 laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,35 laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,45 laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,50 laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,52,3,3,321,0.161,0.0001543106707038,0,0.0168297582450495
5,actually laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,couple laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,lap 52,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,laps 80,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,laps counting,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,laps laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,laps stripe,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,laps tonight,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,probably laps,3,3,321,0.161,0.0001543106707038,1,0.0168297582450495
5,18,6,17,321,0.915,0.0001727056896827,0,0.018674173628411
5,continue,11,57,321,3.066,0.0001826937137016,0,0.0196864989781547
5,start,9,40,321,2.152,0.0002094177180205,0,0.0222989120051376
5,35,5,12,321,0.646,0.0002528014702372,0,0.0263858051889037
5,11,4,7,321,0.377,0.000252830772746,0,0.0263858051889037
5,84,4,7,321,0.377,0.000252830772746,0,0.0263858051889037
6,leader,32,110,41,0.756,7.131958226659392e-50,0,1.7262081969372139e-46
6,leaders,7,11,41,0.076,1.36559227439041e-13,0,7.161393485615708e-11
6,going leader,6,7,41,0.048,5.007938282784772e-13,1,2.5415286785132713e-10
7,crashed,14,19,44,0.14,1.5931165719290672e-27,0,2.179452736336874e-24
7,crash,8,8,44,0.059,4.4673982109644895e-18,0,3.851142046794457e-15
